Temp,Humidity,CO,smoke,RESULT
28,63,0,371,mild
25,70,0,429,no
34,56,0,363,severe
36,65,0,293,critical
34,50,0,516,severe
27,72,0,588,no
40,65,0,527,critical
25,58,0,571,no
32,59,0,238,severe
30,74,0,447,no
29,52,0,353,mild
39,63,0,548,critical
34,62,0,458,severe
26,58,0,284,no
27,70,0,453,no
36,52,0,317,critical
32,54,0,248,severe
37,58,0,449,critical
40,51,0,289,critical
29,72,0,316,mild
40,55,0,232,critical
29,51,0,219,mild
29,51,0,561,mild
34,63,0,287,severe
39,59,0,328,critical
29,75,0,364,mild
28,67,0,267,mild
36,65,0,370,critical
28,59,0,366,mild
32,77,0,260,severe
29,78,0,242,mild
29,78,0,397,mild
31,62,0,434,severe
36,57,0,222,critical
27,53,0,262,no
38,50,0,229,critical
34,56,0,393,severe
34,59,0,484,severe
28,75,0,532,mild
26,73,0,373,no
34,66,0,358,severe
26,65,0,522,no
38,50,0,306,critical
36,73,0,558,critical
36,68,0,273,critical
26,78,0,224,no
25,62,0,341,no
26,59,0,566,no
37,53,0,387,critical
33,51,0,502,severe
34,76,0,509,severe
28,57,0,546,mild
36,68,0,523,critical
39,78,0,225,critical
31,66,0,427,severe
25,75,0,341,no
29,59,0,487,mild
29,50,0,378,mild
26,58,0,576,no
30,71,0,322,no
26,52,0,206,no
35,60,0,387,severe
38,68,0,373,critical
37,68,0,474,critical
32,78,0,394,severe
30,70,0,474,no
38,60,0,253,critical
33,65,0,525,severe
29,58,0,300,mild
37,67,0,348,critical
29,54,0,205,mild
27,56,0,558,no
25,76,0,479,no
35,66,0,213,severe
34,57,0,443,severe
36,57,0,567,critical
29,61,0,323,mild
29,61,0,448,mild
40,64,0,496,critical
29,54,0,410,mild
38,52,0,557,critical
38,71,0,510,critical
36,52,0,206,critical
35,63,0,294,severe
26,65,0,465,no
29,73,0,215,mild
36,52,0,377,critical
26,71,0,484,no
36,57,0,269,critical
30,76,0,213,no
39,52,0,299,critical
40,70,0,384,critical
33,58,0,553,severe
34,77,0,440,severe
37,54,0,411,critical
38,74,0,360,critical
39,73,0,426,critical
28,58,0,253,mild
39,60,0,508,critical
38,60,0,252,critical
38,65,0,540,critical
30,53,0,278,no
33,54,0,428,severe
34,58,0,272,severe
34,53,0,330,severe
30,77,0,328,no
39,56,0,594,critical
34,50,0,401,severe
25,56,0,256,no
32,58,0,545,severe
36,73,0,505,critical
26,53,0,488,no
39,58,0,405,critical
37,53,0,338,critical
39,52,0,259,critical
25,74,0,441,no
35,69,0,392,severe
38,77,0,371,critical
40,67,0,570,critical
38,52,0,548,critical
32,59,0,247,severe
28,56,0,264,mild
26,70,0,394,no
26,57,0,268,no
31,70,0,231,severe
28,54,0,456,mild
26,66,0,583,no
33,61,0,520,severe
30,71,0,599,no
37,64,0,335,critical
34,59,0,538,severe
35,51,0,542,severe
36,61,0,372,critical
31,60,0,483,severe
33,74,0,345,severe
36,61,0,352,critical
35,70,0,560,severe
32,73,0,521,severe
36,76,0,220,critical
29,54,0,349,mild
34,59,0,435,severe
36,69,0,497,critical
37,56,0,574,critical
35,62,0,450,severe
34,65,0,523,severe
27,68,0,267,no
33,71,0,275,severe
39,63,0,292,critical
36,50,0,502,critical
40,78,0,433,critical
32,53,0,276,severe
33,66,0,536,severe
31,78,0,581,severe
39,65,0,512,critical
28,78,0,244,mild
30,71,0,560,no
35,51,0,256,severe
35,74,0,220,severe
34,70,0,219,severe
29,69,0,254,mild
34,74,0,395,severe
36,58,0,586,critical
25,71,0,236,no
39,59,0,536,critical
31,78,0,535,severe
40,70,0,364,critical
40,60,0,297,critical
29,73,0,520,mild
26,75,0,314,no
37,53,0,328,critical
38,74,0,279,critical
25,72,0,234,no
32,59,0,342,severe
40,60,0,539,critical
30,74,0,598,no
27,60,0,565,no
40,52,0,511,critical
37,50,0,427,critical
32,77,0,372,severe
36,68,0,417,critical
25,72,0,506,no
39,63,0,519,critical
28,67,0,220,mild
35,78,0,480,severe
35,67,0,500,severe
33,74,0,288,severe
28,72,0,406,mild
28,65,0,456,mild
29,63,0,266,mild
27,66,0,496,no
27,54,0,590,no
32,51,0,448,severe
36,64,0,503,critical
29,57,0,477,mild
35,69,0,555,severe
29,53,0,515,mild
36,67,0,412,critical
30,62,0,309,no
32,73,0,549,severe
28,55,0,505,mild
35,75,0,203,severe
32,74,0,303,severe
30,55,0,574,no
29,50,0,272,mild
30,59,0,237,no
40,78,0,212,critical
35,57,0,214,severe
34,50,0,307,severe
30,54,0,426,no
25,70,0,224,no
39,61,0,413,critical
30,60,0,232,no
31,61,0,217,severe
36,62,0,527,critical
32,60,0,336,severe
36,60,0,570,critical
33,65,0,429,severe
26,50,0,548,no
31,52,0,487,severe
29,53,0,566,mild
26,51,0,409,no
30,70,0,327,no
37,74,0,397,critical
31,74,0,263,severe
29,64,0,238,mild
39,76,0,403,critical
40,62,0,553,critical
29,57,0,405,mild
36,62,0,333,critical
